ISIN;ISIN-Bezeichnung;Verwaltungsgesellschaft;OeNB-Identnummer;LEI;LEI-Status;Wrapper;ISIN-Status;Laufzeitende
AT0000670971;R 296 AS;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8463840;529900E0M6ZOCB207D40;ISSUED;2168;A;
AT0000671896;Amundi Öko Sozial Euro Government Bond;Amundi Austria GmbH;7010761;213800C489TNT2TL1Y62;ISSUED;17;A;
AT0000672126;USD Convergence Bond;Amundi Austria GmbH;6808662;529900UWT6RBZZ1GQP94;ISSUED;2163;A;
AT0000672258;Schoellerbank Realzins Plus (A);Schoellerbank Invest AG;7722109;529900S6F70RTF48LQ33;ISSUED;2181;A;
AT0000672266;Schoellerbank Realzins Plus (T);Schoellerbank Invest AG;7722109;529900S6F70RTF48LQ33;ISSUED;2181;A;
AT0000673165;ERSTE STOCK BIOTEC EUR R01 (VTA);Erste Asset Management GmbH;7524951;529900KFPM5K1RW80077;ISSUED;985;A;
AT0000673173;ERSTE BOND COMBIRENT EUR R01;Erste Asset Management GmbH;7513402;5299003BGS3OLPA5YE94;ISSUED;97;A;
AT0000673181;ERSTE STOCK EUROPE EMERGING EUR R01;Erste Asset Management GmbH;7525010;5299001A72W1427GZR62;ISSUED;113;A;
AT0000673199;ERSTE BOND DANUBIA (EUR) (R01) (VA);Erste Asset Management GmbH;7513410;5299007VU50ARUCXD513;ISSUED;435;A;
AT0000673207;ERSTE BOND DOLLAR EUR R01;Erste Asset Management GmbH;7513429;529900COLCK9HP2T9A23;ISSUED;112;A;
AT0000673215;ERSTE PORTFOLIO BOND EUROPE EUR R01;Erste Asset Management GmbH;7518366;5299005PXDI72KSYGX26;ISSUED;118;A;
AT0000673249;ERSTE RESERVE DOLLAR USD R01;Erste Asset Management GmbH;7514565;529900JNUPB03XZS1N35;ISSUED;470;A;
AT0000673280;ERSTE BOND EUROPE HIGH YIELD EUR R01;Erste Asset Management GmbH;7513577;52990030X39179ZGG566;ISSUED;785;A;
AT0000673306;ERSTE BOND EM GOVERNMENT EUR R01;Erste Asset Management GmbH;7513445;529900LVCE3OTCKR6L08;ISSUED;408;A;
AT0000673314;ERSTE STOCK GLOBAL EUR R01 (VTA);Erste Asset Management GmbH;7525125;529900AD3P0U22UDIC32;ISSUED;378;A;
AT0000673322;ERSTE BOND INTERNATIONAL EUR R01;Erste Asset Management GmbH;7514050;529900UHX3NJKXD21119;ISSUED;98;A;
AT0000673355;ERSTE RESERVE EURO PLUS EUR R01;Erste Asset Management GmbH;7012500;5299002DYSWP6A88AI59;ISSUED;100;A;
AT0000673371;ERSTE RESPONSIBLE STOCK AMERICA USD R01 (VA);Erste Asset Management GmbH;7524935;529900KAXKGJVGP2XF39;ISSUED;121;A;
AT0000673389;ERSTE STOCK TECHNO EUR R01;Erste Asset Management GmbH;7525230;529900LT57LYPF5EZF56;ISSUED;966;A;
AT0000673397;ERSTE STOCK VIENNA;Erste Asset Management GmbH;7525281;52990051OXL505A5EQ93;ISSUED;102;A;
AT0000673603;Schoellerbank PF 33;Schoellerbank Invest AG;8494010;529900T8BG2AUNVYK550;ISSUED;2136;A;
AT0000673892;INVESCO Extra Income Bond (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;5674280;529900S56OD7UE7H1V04;ISSUED;2138;A;
AT0000674858;Amundi Mega Trends;Amundi Austria GmbH;8077312;213800JIOR2JX7BOQH10;ISSUED;728;A;
AT0000674908;Amundi Austria Stock;Amundi Austria GmbH;8222339;2138003UVXHZ9AMU5P57;ISSUED;74;A;
AT0000674916;Amundi Gold Stock;Amundi Austria GmbH;7270984;213800EIC3LEHKCJT155;ISSUED;57;A;
AT0000674924;Amundi Öko Sozial Emerging Markets Corporate Bond;Amundi Austria GmbH;7270615;213800RQSOR59AK95I70;ISSUED;900;A;
AT0000675046;Amundi Healthcare Stock;Amundi Austria GmbH;8076847;2138006H4P8CU3PIO771;ISSUED;959;A;
AT0000675095;Amundi Gold Stock;Amundi Austria GmbH;7270984;213800EIC3LEHKCJT155;ISSUED;57;A;
AT0000675178;Amundi Select Europe Stock;Amundi Austria GmbH;7271280;213800PEDZKMW7JC9H18;ISSUED;18;A;
AT0000675186;Amundi Eastern Europe Stock;Amundi Austria GmbH;7270658;213800RW6PESEB5ETA36;ISSUED;217;A;
AT0000675210;Fair Invest Balanced;LLB Invest Kapitalanlagegesellschaft m.b.H.;5676460;529900H2Y0Z5P1G8QW11;ISSUED;2103;A;
AT0000675228;Fair Invest Balanced;LLB Invest Kapitalanlagegesellschaft m.b.H.;5676460;529900H2Y0Z5P1G8QW11;ISSUED;2103;A;
AT0000675475;Money&Co Best Of;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7205678;5299004XK227VL8KMW37;ISSUED;2217;A;
AT0000675483;Money&Co Equity;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7204965;529900PQ69KA38VJIP17;ISSUED;2218;A;
AT0000675657;KEPLER Ethik Aktienfonds (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8105863;529900CYMXIUBNJNNM37;ISSUED;2145;A;
AT0000675665;KEPLER Ethik Aktienfonds (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8105863;529900CYMXIUBNJNNM37;ISSUED;2145;A;
AT0000675673;Gutmann Euro Bond Opportunities (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;7788258;5299000NEI7CPXZ98L29;ISSUED;2121;A;
AT0000675681;R 32195-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8298890;529900ICXFRSI00NDJ49;ISSUED;2142;A;
AT0000675707;DJE Golden Wave;MASTERINVEST Kapitalanlage GmbH;8081417;213800FSMUNA36JTQC78;ISSUED;2159;A;
AT0000675715;GM 1 (VT1);Gutmann Kapitalanlagegesellschaft m.b.H;8082596;52990039CN4NUCIGQQ38;ISSUED;2122;A;
AT0000675731;INVESCO Extra Income Bond (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;5674280;529900S56OD7UE7H1V04;ISSUED;2138;A;
AT0000675764;ERSTE BOND USA CORPORATE EUR R01;Erste Asset Management GmbH;7514433;529900MPRO0091N5NQ64;ISSUED;2119;A;
AT0000675772;ERSTE BOND USA CORPORATE EUR R01;Erste Asset Management GmbH;7514433;529900MPRO0091N5NQ64;ISSUED;2119;A;
AT0000675798;Wiener Privatbank Premium Ausgewogen;LLB Invest Kapitalanlagegesellschaft m.b.H.;8476241;529900MA9AS5VDOPZA97;ISSUED;2133;A;
AT0000676788;Global Garant X;Amundi Austria GmbH;8082588;213800GB5J5H13UKEO28;ISSUED;2118;A;
AT0000676838;ERSTE RESERVE CORPORATE EUR R01;Erste Asset Management GmbH;7526741;529900RG8SLD0FLTMR32;ISSUED;2150;A;
AT0000676846;ERSTE RESERVE CORPORATE EUR R01;Erste Asset Management GmbH;7526741;529900RG8SLD0FLTMR32;ISSUED;2150;A;
AT0000677901;Raiffeisen-Nachhaltigkeit-Aktien (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173202;529900Z4L0OR37HJ6K36;ISSUED;2104;A;
AT0000677919;Raiffeisen-Nachhaltigkeit-Aktien (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173202;529900Z4L0OR37HJ6K36;ISSUED;2104;A;
AT0000677927;Raiffeisen-Nachhaltigkeit-Aktien (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173202;529900Z4L0OR37HJ6K36;ISSUED;2104;A;
AT0000679261;Sirius 50 A;Gutmann Kapitalanlagegesellschaft m.b.H;8471487;529900NGWZ375ED81B62;ISSUED;2167;A;
AT0000679436;SF 29;Erste Asset Management GmbH;8493278;529900ZF1J0JP05LK333;ISSUED;2100;A;
AT0000679444;3 Banken Euro Bond-Mix (T);3 Banken-Generali Investment-Gesellschaft m.b.H.;8390215;5299004QZRMUX4C3CF02;ISSUED;25;A;
AT0000680095;Allianz Invest Spezial 100 (A);Allianz Invest Kapitalanlagegesellschaft mbH;8396434;529900A07NRH0O8XQK36;ISSUED;2088;A;
AT0000680962;ERSTE STOCK EM GLOBAL EUR R01 (A);Erste Asset Management GmbH;7525133;529900JLMQKOKCL61P30;ISSUED;2096;A;
AT0000680970;ERSTE STOCK EM GLOBAL EUR R01 (T);Erste Asset Management GmbH;7525133;529900JLMQKOKCL61P30;ISSUED;2096;A;
AT0000681168;s EthikAktien (T);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7204930;5299008N3AQOOK14HO82;ISSUED;2098;A;
AT0000681176;s EthikAktien (A);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7204930;5299008N3AQOOK14HO82;ISSUED;2098;A;
AT0000681184;s EthikBond (T);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7204906;529900MJGWDIL3YYBY67;ISSUED;2099;A;
AT0000681192;s EthikBond (A);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;7204906;529900MJGWDIL3YYBY67;ISSUED;2099;A;
AT0000681895;SpänglerPrivat: Global Brands & Dividends (RA0);IQAM Invest GmbH;8288496;52990056X1ACOHJE1Z28;ISSUED;2205;A;
AT0000685102;ProInvest Fonds (dynamisch) I;Amundi Austria GmbH;8457891;213800WCA3ILYM4FMJ87;ISSUED;2266;A;
AT0000685128;ProInvest Fonds (progressiv) III;Amundi Austria GmbH;8457999;213800YLBVI4GUD5QS59;ISSUED;2226;A;
AT0000685193;K 355;Erste Asset Management GmbH;7527594;5299003ZCARISCO50848;ISSUED;2108;A;
AT0000685201;K 355;Erste Asset Management GmbH;7527594;5299003ZCARISCO50848;ISSUED;2108;A;
AT0000685235;LLB Staatsanleihen EUR (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;5674255;529900SJE9WVSH4J1D98;ISSUED;2082;A;
AT0000685425;GreenStars European Equities EUR R01;Erste Asset Management GmbH;8483353;52990016EC8676OSX316;ISSUED;206;A;
AT0000685433;Sirius 37 (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;8471401;5299001BRQUDBM6XLV90;ISSUED;2074;A;
AT0000685615;SparTrust XVII (T);IQAM Invest GmbH;7993498;5299005QXD8HDX16AJ46;ISSUED;2158;A;
AT0000685656;SAM10;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;8038341;;;2062;A;
AT0000686084;ERSTE RESPONSIBLE BOND EUR R01;Erste Asset Management GmbH;7525303;529900EP00J79DGJUD84;ISSUED;2077;A;
AT0000687041;C 30;MASTERINVEST Kapitalanlage GmbH;8448310;213800LPKW72SIMAYN79;ISSUED;2065;A;
AT0000687058;SF 27;Amundi Austria GmbH;8493251;529900W91FPGO0B3DB63;ISSUED;2089;A;
AT0000688668;Raiffeisen-Energie-Aktien (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8456585;529900QE0QCEV3VM9191;ISSUED;2054;A;
AT0000688676;Raiffeisen-Energie-Aktien (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8456585;529900QE0QCEV3VM9191;ISSUED;2054;A;
AT0000688684;Raiffeisen-Energie-Aktien (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8456585;529900QE0QCEV3VM9191;ISSUED;2054;A;
AT0000688841;Raiffeisen-HighTech-ESG-Aktien (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8500894;529900YCX28O8NNXND08;ISSUED;2057;A;
AT0000688858;Raiffeisen-HighTech-ESG-Aktien (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8500894;529900YCX28O8NNXND08;ISSUED;2057;A;
AT0000688866;Raiffeisen-HighTech-ESG-Aktien (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8500894;529900YCX28O8NNXND08;ISSUED;2057;A;
AT0000689294;Multi-Faktor Weltportfolio;LLB Invest Kapitalanlagegesellschaft m.b.H.;8469750;529900S0K8FFTRUI1H09;ISSUED;2038;A;
AT0000689971;Raiffeisen-Nachhaltigkeit-Rent (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;3249310;52990011HIMFWWQLM242;ISSUED;158;A;
AT0000689989;Medreal;LLB Invest Kapitalanlagegesellschaft m.b.H.;8466386;529900BCWL613U8GPL40;ISSUED;2011;A;
AT0000690201;C 20;LLB Invest Kapitalanlagegesellschaft m.b.H.;8460370;529900WQU64K45I0YY07;ISSUED;2045;A;
AT0000690763;WSTW III;Erste Asset Management GmbH;8190798;5299000TPT8G34A7TU95;ISSUED;2013;A;
AT0000691365;R 135-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8495009;529900KY184MK3C7AM95;ISSUED;2000;A;
AT0000691381;Wirtschaftskammer NÖ;MASTERINVEST Kapitalanlage GmbH;8268410;529900CARGZS9XOBFU56;ISSUED;1989;A;
AT0000697065;CORE Equities Europe EUR R01;Erste Asset Management GmbH;7517734;5299002BC2KFIRVIVB61;ISSUED;1959;A;
AT0000697073;ERSTE RESPONSIBLE STOCK JAPAN EUR R01;Erste Asset Management GmbH;7525176;529900LYX5168AHKQS72;ISSUED;1960;A;
AT0000697081;CORE Equities USA;Erste Asset Management GmbH;7517742;529900UV3W1PINB5D519;ISSUED;1961;A;
AT0000697222;VBV Global Bonds 1;Amundi Austria GmbH;8082693;213800Z8U3CYKXDCTX35;ISSUED;1967;A;
AT0000698071;FRS Dynamik;LLB Invest Kapitalanlagegesellschaft m.b.H.;8466041;529900L7BTCH1I8AQT94;ISSUED;1915;A;
AT0000698089;FRS Substanz;LLB Invest Kapitalanlagegesellschaft m.b.H.;8466050;529900UXEHK39RVYIK90;ISSUED;1916;A;
AT0000700778;ERSTE MORTGAGE EUR R01;Erste Asset Management GmbH;7514409;5299000WC2KLR4TFY612;ISSUED;1925;A;
AT0000700786;ERSTE MORTGAGE EUR R01;Erste Asset Management GmbH;7514409;5299000WC2KLR4TFY612;ISSUED;1925;A;
AT0000701156;3 Banken Nachhaltigkeitsfonds (R);3 Banken-Generali Investment-Gesellschaft m.b.H.;8390339;529900WNTYTWIFU2GA63;ISSUED;1917;A;
AT0000701164;Tri Style Fund (T);MASTERINVEST Kapitalanlage GmbH;8476365;529900CQBTCU751EXD82;ISSUED;1935;A;
AT0000701180;Hypo Corporate Bond Fund (A);MASTERINVEST Kapitalanlage GmbH;8475768;529900LNCA8A4MYX3K34;ISSUED;1918;A;
AT0000701198;Hypo Corporate Bond Fund (T);MASTERINVEST Kapitalanlage GmbH;8475768;529900LNCA8A4MYX3K34;ISSUED;1918;A;
AT0000701396;WK 16 (A);IQAM Invest GmbH;6459226;529900HZ8OHNP5EGSW97;ISSUED;1946;A;
AT0000702501;UNIQA Stetig (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;8471584;529900KZZI0LGLPXWZ47;ISSUED;1919;A;
