ISIN;ISIN-Bezeichnung;Verwaltungsgesellschaft;OeNB-Identnummer;LEI;LEI-Status;Wrapper;ISIN-Status;Laufzeitende
AT0000A0DXG3;R 222;Erste Asset Management GmbH;9304606;52990057WL01Z8LJ1G38;ISSUED;3897;A;
AT0000A0DXL3;Apollo Ausgewogen (T2) (T);Security Kapitalanlage Aktiengesellschaft;8500703;529900U1KY65MC8WWL86;ISSUED;1745;A;
AT0000A0DXM1;Apollo Dynamisch (T2) (T);Security Kapitalanlage Aktiengesellschaft;8500711;529900HR4W6NCYYZDL80;ISSUED;1746;A;
AT0000A0DXN9;Apollo Emerging Markets Equity  (T2) (T);Security Kapitalanlage Aktiengesellschaft;8506965;529900N2DAI442VERR26;ISSUED;444;V;
AT0000A0DY93;Merito Dynamic Real Return;Erste Asset Management GmbH;9311874;529900V898XF0FD3G533;ISSUED;3900;A;
AT0000A0DYA4;Merito Dynamic Real Return;Erste Asset Management GmbH;9311874;529900V898XF0FD3G533;ISSUED;3900;A;
AT0000A0DYM9;Value Investment Fonds Chance (A);Security Kapitalanlage Aktiengesellschaft;9316043;529900CYURNYRDRTCP84;ISSUED;3906;A;
AT0000A0DYN7;Value Investment Fonds Chance (T);Security Kapitalanlage Aktiengesellschaft;9316043;529900CYURNYRDRTCP84;ISSUED;3906;A;
AT0000A0DYP2;Value Investment Fonds Basis (A);Security Kapitalanlage Aktiengesellschaft;9316035;529900XVIOKAZH4JYS89;ISSUED;3905;A;
AT0000A0DYQ0;Value Investment Fonds Basis (T);Security Kapitalanlage Aktiengesellschaft;9316035;529900XVIOKAZH4JYS89;ISSUED;3905;A;
AT0000A0E0J1;3BG Short-Term;3 Banken-Generali Investment-Gesellschaft m.b.H.;9322507;5299001W3URQ52NFZO96;ISSUED;3907;A;
AT0000A0E0U8;Alpen Privatbank Anleihenstrategie (IT) (T);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;8583358;529900ZF8JMFOZT6YE34;ISSUED;3631;A;
AT0000A0E0X2;s Reserve (A);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;9355138;5299003804GA26ZKYV90;ISSUED;3908;A;
AT0000A0E0Y0;s Reserve (T);Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;9355138;5299003804GA26ZKYV90;ISSUED;3908;A;
AT0000A0E9S3;I-AM AllStars Conservative (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;8413916;529900M6RJ9257DH4I66;ISSUED;2587;A;
AT0000A0ENV1;3 Banken Sachwerte-Fonds (R);3 Banken-Generali Investment-Gesellschaft m.b.H.;9393617;52990034HTBF36MJLM88;ISSUED;3913;A;
AT0000A0ETH7;FlexProtection Secure 7;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9406476;5299004OSCVPE1TLXD95;ISSUED;3914;A;
AT0000A0ETK1;Kathrein ESG Euro Bond (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8492360;5299003OCXLL6D1WHF46;ISSUED;839;A;
AT0000A0ETT2;Kathrein Corporate Bond (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8492352;5299002QZEN4G76VY574;ISSUED;840;A;
AT0000A0ETU0;Kathrein US Equity (I) T EUR;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8494231;529900OTMXW8C9JP3S21;ISSUED;835;A;
AT0000A0ETV8;Kathrein European Equity (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8492387;529900BD03088GLAUK21;ISSUED;847;A;
AT0000A0ETY2;SOP 200;LLB Invest Kapitalanlagegesellschaft m.b.H.;9409351;529900SJJXDPTFRGQN76;ISSUED;3918;A;
AT0000A0EX28;SparTrust 35 (A);IQAM Invest GmbH;9417265;529900ST22JBJN0VVV89;ISSUED;3921;A;
AT0000A0EX36;SparTrust 35 (T);IQAM Invest GmbH;9417265;529900ST22JBJN0VVV89;ISSUED;3921;A;
AT0000A0EX51;Klassik Invest ESG Aktien (S) (T);Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8266735;529900FNEH8RC9U3AB93;ISSUED;1114;A;
AT0000A0EY43;Raiffeisen-Europa-HighYield (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173210;529900JLZZMDNRM35C68;ISSUED;765;A;
AT0000A0EY50;Raiffeisen-Zentraleuropa-ESG-Aktien (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7317336;529900YTMI7CP84ISH50;ISSUED;231;A;
AT0000A0EYA2;Raiffeisen-Osteuropa-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7165390;5299000693CSIRT0BH73;ISSUED;1005;A;
AT0000A0EYC8;Raiffeisen-Asia Opportunities-ESG-Aktien (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7262175;529900OOTZUUZBZQR163;ISSUED;1007;A;
AT0000A0EYD6;Raiffeisen-Euro-ShortTerm-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7165374;529900ZN0H3TGVKN3X18;ISSUED;162;A;
AT0000A0EYE4;Raiffeisen-ESG-Euro-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7010982;529900PZK2TF51BYLY95;ISSUED;388;A;
AT0000A0F0E1;PrivatPortfolio IV (IA);IQAM Invest GmbH;9449337;529900HHSYQLUKTFZM73;ISSUED;3942;A;
AT0000A0F0F8;PrivatPortfolio IV (IT);IQAM Invest GmbH;9449337;529900HHSYQLUKTFZM73;ISSUED;3942;A;
AT0000A0F9E2;MANDO aktiv Multi Assets (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9456872;529900690161QFP5LH93;ISSUED;3946;A;
AT0000A0F9F9;MANDO aktiv Multi Assets (IT) (A);KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9456872;529900690161QFP5LH93;ISSUED;3946;A;
AT0000A0F9R4;VKB Vorsorge Plus (A);Gutmann Kapitalanlagegesellschaft m.b.H;8458472;213800VCE1KZ1DYHDM67;ISSUED;2824;A;
AT0000A0F9U8;R-VIP 35 (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8208310;5299009VM86RZG4IMT28;ISSUED;3071;A;
AT0000A0F9W4;R-VIP 75 (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8498733;529900GQAR4I433G2045;ISSUED;3076;A;
AT0000A0F9X2;R-VIP 100 (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8498750;529900SCR6BVO99KE151;ISSUED;3074;A;
AT0000A0FA24;R-VIP 50;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9465120;5299002XJW0JYO67UZ19;ISSUED;3952;A;
AT0000A0FD96;UNIQA Corporate Bond (S) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;6983642;529900R0136W0WHZ7661;ISSUED;208;A;
AT0000A0FDM8;R 1-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9481834;529900BAI77Q7PP3FN74;ISSUED;3955;A;
AT0000A0FM61;Amundi Öko Sozial Euro Aggregate Bond;Amundi Austria GmbH;9489886;529900OW91XN6UX89457;ISSUED;3956;A;
AT0000A0FM79;Amundi Öko Sozial Euro Aggregate Bond;Amundi Austria GmbH;9489886;529900OW91XN6UX89457;ISSUED;3956;A;
AT0000A0FMU2;K 76;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9501096;5299001Z8GMRW3XN2186;ISSUED;3958;A;
AT0000A0FMW8;Amundi Öko Sozial Euro Aggregate Bond;Amundi Austria GmbH;9489886;529900OW91XN6UX89457;ISSUED;3956;A;
AT0000A0FMX6;K 2009;Erste Asset Management GmbH;9503366;529900UZSFYPJQ8R2J29;ISSUED;3959;A;
AT0000A0FNK1;GF 224;Amundi Austria GmbH;9505415;529900W3K5IKCEIYQ903;ISSUED;3960;A;
AT0000A0FS73;INNOVEST 92 spezial;LLB Invest Kapitalanlagegesellschaft m.b.H.;9519211;529900OAIZMLJCJCVJ65;ISSUED;3963;A;
AT0000A0FSN4;ERSTE RESPONSIBLE STOCK GLOBAL EUR R01;Erste Asset Management GmbH;7525338;5299006PBMHZRD7QSR58;ISSUED;2345;A;
AT0000A0FT23;Raiffeisen-EmergingMarkets-ESG-Transformation-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7320981;529900SZQ8CESIKFB921;ISSUED;2405;A;
AT0000A0FXL8;Raiffeisen-Nachhaltigkeit-EmergingMarkets-LocalBonds (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9551220;5299001Q0GGN4TBUGC18;ISSUED;3971;A;
AT0000A0FXM6;Raiffeisen-Nachhaltigkeit-EmergingMarkets-LocalBonds (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9551220;5299001Q0GGN4TBUGC18;ISSUED;3971;A;
AT0000A0FYW3;R 225-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9553380;529900QF72PZ8EZ9Q817;ISSUED;3973;A;
AT0000A0FZ09;HS PVV;3 Banken-Generali Investment-Gesellschaft m.b.H.;9555641;5299004AVYFGBCYEBH94;ISSUED;3974;A;
AT0000A0FZR0;OBK 30;3 Banken-Generali Investment-Gesellschaft m.b.H.;9564519;529900M5V5I5SKC8NX22;ISSUED;3978;A;
AT0000A0G249;ERSTE RESPONSIBLE MICROFINANCE EUR R01;Erste Asset Management GmbH;9581383;5299009FGRZDV4SLV283;ISSUED;3984;A;
AT0000A0G256;ERSTE RESPONSIBLE MICROFINANCE EUR R01;Erste Asset Management GmbH;9581383;5299009FGRZDV4SLV283;ISSUED;3984;A;
AT0000A0G272;Raiffeisen-Nachhaltigkeit-EmergingMarkets-LocalBonds (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9551220;5299001Q0GGN4TBUGC18;ISSUED;3971;A;
AT0000A0G2W8;APS INVEST 2009 (VI);Erste Asset Management GmbH;9586091;529900YDS2OSUCNPM704;ISSUED;3985;A;
AT0000A0G306;Olympic (A);Allianz Invest Kapitalanlagegesellschaft mbH;9608893;529900EWVPD425F9E498;ISSUED;3990;A;
AT0000A0G405;UIA Austro-Garant 2 konservativ;Erste Asset Management GmbH;9611894;5299007WCFLKP7QVC404;ISSUED;3993;A;
AT0000A0G413;UIA Austro-Garant 2 dynamisch VT;Erste Asset Management GmbH;9611916;529900LJMFPQGP8RR518;ISSUED;3992;A;
AT0000A0G470;SAM24;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;9620060;;;4002;A;
AT0000A0G728;Allianz Spezial 112 (T);Allianz Invest Kapitalanlagegesellschaft mbH;9628843;5299001UGP5AR5U8L236;ISSUED;4005;A;
AT0000A0G736;Allianz Spezial 113 (T);Allianz Invest Kapitalanlagegesellschaft mbH;9628835;529900G047QZ49X00P03;ISSUED;4006;A;
AT0000A0GTZ4;Schoellerbank Global Resources (A);Schoellerbank Invest AG;9659870;529900Q5F1NKYCSQ3G21;ISSUED;4011;A;
AT0000A0GU03;Schoellerbank Global Resources (T);Schoellerbank Invest AG;9659870;529900Q5F1NKYCSQ3G21;ISSUED;4011;A;
AT0000A0GVM8;Zukunftsvorsorge15;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9662928;529900KU5HZQD3KTOO06;ISSUED;4012;A;
AT0000A0GVN6;Zukunftsvorsorge25;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9662910;529900Z5T5M9LI8CA586;ISSUED;4013;A;
AT0000A0GVP1;Zukunftsvorsorge30;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9662901;5299004QAKLMRW6M4W15;ISSUED;4014;A;
AT0000A0GXE1;3BG Trend B (A);3 Banken-Generali Investment-Gesellschaft m.b.H.;8392366;5299000NY7FNKKEZE561;ISSUED;3433;A;
AT0000A0GXX1;R 241-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9677810;5299005FCVETTB4XHS19;ISSUED;4023;A;
AT0000A0GXY9;R 242-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9677852;529900OX28N91OIYXG93;ISSUED;4024;A;
AT0000A0GY09;R 244-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9677836;529900C5UVB1T66VRA37;ISSUED;4026;A;
AT0000A0H0R1;s-Zukunft Aktien 4;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;9715401;529900CVULHTOR5BL545;ISSUED;4034;A;
AT0000A0H0S9;Raiffeisen-Active-Commodities (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9300600;5299002VLGWAI85X8J38;ISSUED;3896;A;
AT0000A0H2C9;Amundi Spezial 27/HTM;Amundi Austria GmbH;9726314;529900NBIHBQEQPT1M93;ISSUED;4038;A;
AT0000A0H2F2;3BG Bond-Opportunities;3 Banken-Generali Investment-Gesellschaft m.b.H.;9728414;52990061OAZX7R6IBC15;ISSUED;4039;A;
AT0000A0H2G0;GNLStock;3 Banken-Generali Investment-Gesellschaft m.b.H.;9728406;5299008DI7YIE9G99G34;ISSUED;4040;A;
AT0000A0H304;Apollo 32 Basis;Security Kapitalanlage Aktiengesellschaft;9733302;529900R8ZO7AV2ULII16;ISSUED;4043;A;
AT0000A0H312;Apollo Styrian Global Equity A2 (A);Security Kapitalanlage Aktiengesellschaft;6480390;5299001M114K450MEZ02;ISSUED;867;A;
AT0000A0H858;Macro + Strategy;LLB Invest Kapitalanlagegesellschaft m.b.H.;9737456;529900ICYFPS1JQGN769;ISSUED;4047;A;
AT0000A0H8D4;ERSTE RESERVE EURO EUR R01;Erste Asset Management GmbH;5019320;529900OSCAKTW10UKB89;ISSUED;1570;A;
AT0000A0HAG2;RT 4 (A);Erste Asset Management GmbH;9756868;529900BRHNLZ349UTM30;ISSUED;4051;A;
AT0000A0HAN8;Sirius 35 (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;9756876;529900CO3BP4NFB25923;ISSUED;4054;A;
AT0000A0HJ72;Generali-Zukunftsvorsorgefonds 2010/20;3 Banken-Generali Investment-Gesellschaft m.b.H.;9777938;529900S4WQ2GV9MFAX59;ISSUED;4055;A;
AT0000A0HJ98;Generali-Zukunftsvorsorgefonds 2010/30;3 Banken-Generali Investment-Gesellschaft m.b.H.;9777920;529900UPUQ1ORHT8H377;ISSUED;4056;A;
AT0000A0HJB4;Allianz Invest Portfolio Blue (A);Allianz Invest Kapitalanlagegesellschaft mbH;9792473;529900CDEGTMM6CYQY59;ISSUED;4060;A;
AT0000A0HJC2;Allianz Invest Portfolio Blue (T);Allianz Invest Kapitalanlagegesellschaft mbH;9792473;529900CDEGTMM6CYQY59;ISSUED;4060;A;
AT0000A0HJS8;Paracelsus;Gutmann Kapitalanlagegesellschaft m.b.H;9782494;529900CLNSA7V3DIYY86;ISSUED;4058;A;
AT0000A0HNW2;META SAT;KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.;9808663;529900RE0B2LXKBCKW46;ISSUED;4063;A;
AT0000A0HPH8;OBK 32 (I);3 Banken-Generali Investment-Gesellschaft m.b.H.;9810765;529900YG6YZK8WH54452;ISSUED;4065;A;
AT0000A0J755;Apollo European Equity A2 (A);Security Kapitalanlage Aktiengesellschaft;8506906;529900QJGCOXUOREO756;ISSUED;225;A;
AT0000A0J7U8;Constantia Multi Invest 5 (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;8463557;5299004ZKCIK9VD06Q95;ISSUED;3147;A;
AT0000A0J805;LLB Anleihen Strategie CEEMENA (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;9882464;529900L5RQ5WL1U7VQ20;ISSUED;4083;A;
AT0000A0J813;LLB Anleihen Strategie CEEMENA (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;9882464;529900L5RQ5WL1U7VQ20;ISSUED;4083;A;
AT0000A0J8B6;Raiffeisen-Active-Commodities (R) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9300600;5299002VLGWAI85X8J38;ISSUED;3896;A;
AT0000A0J8S0;ERSTE STOCK GOLD EUR I02;Erste Asset Management GmbH;8290628;5299002T0B1CQHYREQ50;ISSUED;3450;A;
AT0000A0J8T8;ERSTE STOCK GOLD EUR I02;Erste Asset Management GmbH;8290628;5299002T0B1CQHYREQ50;ISSUED;3450;A;
AT0000A0JDS7;Constantia Multi Invest 10 (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;9885005;52990029QNDPTI9XUZ27;ISSUED;4082;A;
AT0000A0JDU3;Spängler Family Business Trust (T);IQAM Invest GmbH;9882456;5299001TQHPI6XWDQG08;ISSUED;4084;A;
AT0000A0JG65;Avaris (EUR) (VT);Gutmann Kapitalanlagegesellschaft m.b.H;9903356;529900LVYKTLXI7PK927;ISSUED;4088;A;
AT0000A0JGB6;s Generation;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;9906100;529900NNBQWPU60E8Z28;ISSUED;4089;A;
AT0000A0JGD2;E 100;Erste Asset Management GmbH;9907572;529900CCA069I3BT7K82;ISSUED;4090;A;
AT0000A0JJR6;Allianz Spezial 200 htm (A);Allianz Invest Kapitalanlagegesellschaft mbH;9928022;529900HVFYEC9XQH1226;ISSUED;4094;A;
AT0000A0JP56;HYPO Rendite Plus (A);MASTERINVEST Kapitalanlage GmbH;8474915;529900J75GXMO86M6Y59;ISSUED;2436;A;
AT0000A0JPB7;Constantia Multi Invest 1;LLB Invest Kapitalanlagegesellschaft m.b.H.;9949054;529900EJVM9JB5Q84744;ISSUED;4097;A;
AT0000A0JPT9;RT PIF traditionell (T);Erste Asset Management GmbH;7212313;5299001QN28X9D7TM449;ISSUED;1232;A;
AT0000A0JPV5;RT PIF dynamisch (T);Erste Asset Management GmbH;7212283;529900FSJMFBG9PZGS71;ISSUED;1231;A;
AT0000A0JQ06;Sirius 71 (EUR) (T);Gutmann Kapitalanlagegesellschaft m.b.H;9988270;529900UWN5XMUNFN2J44;ISSUED;4102;A;
AT0000A0JQ22;FTC Gideon I EUR R01;Erste Asset Management GmbH;7525427;529900HEIMM3B4DNOX43;ISSUED;2965;A;
AT0000A0JQU5;Raiffeisen-Inflation-Shield (R) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9992570;529900B5SAM477L2R019;ISSUED;4105;A;
AT0000A0JQV3;Raiffeisen-Inflation-Shield (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;9992570;529900B5SAM477L2R019;ISSUED;4105;A;
AT0000A0K0P0;MI 20;MASTERINVEST Kapitalanlage GmbH;10000330;5299003HWUGZ7UK5O906;ISSUED;4112;A;
AT0000A0K1H5;s Emerging;Sparkasse Oberösterreich Kapitalanlagegesellschaft m.b.H.;10013792;529900CH4BSGX086DF21;ISSUED;4114;A;
AT0000A0K282;XT Bond EUR passiv;Erste Asset Management GmbH;10031774;529900VVX04S4JR3TN10;ISSUED;4119;A;
AT0000A0K2B6;T 1851 EUR R01;Erste Asset Management GmbH;10031758;529900PZ5VVYT7T4RU82;ISSUED;4121;A;
AT0000A0K2C4;T 1851 EUR R01;Erste Asset Management GmbH;10031758;529900PZ5VVYT7T4RU82;ISSUED;4121;A;
AT0000A0K2D2;T 1851 EUR R01;Erste Asset Management GmbH;10031758;529900PZ5VVYT7T4RU82;ISSUED;4121;A;
AT0000A0K2F7;T 1852;Erste Asset Management GmbH;10031766;529900OJ8UYWDVJ0OX47;ISSUED;4120;A;
AT0000A0K2G5;T 1852;Erste Asset Management GmbH;10031766;529900OJ8UYWDVJ0OX47;ISSUED;4120;A;
AT0000A0K2H3;T 1852;Erste Asset Management GmbH;10031766;529900OJ8UYWDVJ0OX47;ISSUED;4120;A;
AT0000A0K2N1;Gutmann USD Bonds Strategy (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10035834;529900XRS3QDR31MEL86;ISSUED;4122;A;
AT0000A0KLE8;Mozart one (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;10061290;529900QJAQIGC356H320;ISSUED;4124;A;
AT0000A0KML1;Mozart one (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;10061290;529900QJAQIGC356H320;ISSUED;4124;A;
AT0000A0KQJ6;Sirius 66;Gutmann Kapitalanlagegesellschaft m.b.H;10084029;529900Z22PDNZSAM4J87;ISSUED;4131;A;
AT0000A0KQP3;Hypo Mündel Fonds (A);MASTERINVEST Kapitalanlage GmbH;10084010;529900STPNZJ4ISKXE47;ISSUED;4132;A;
AT0000A0KQQ1;Hypo Mündel Fonds (T);MASTERINVEST Kapitalanlage GmbH;10084010;529900STPNZJ4ISKXE47;ISSUED;4132;A;
AT0000A0KR10;Dachfonds Südtirol (R) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7886799;529900U0G5YNZWF17Y16;ISSUED;1771;A;
AT0000A0KR36;ACATIS Aktien Global Value Fonds;MASTERINVEST Kapitalanlage GmbH;10089390;5299008X017WRJNVJ189;ISSUED;4135;A;
AT0000A0KRR7;VBV VK HTM Fonds;Erste Asset Management GmbH;10091505;529900003K4477Q1W464;ISSUED;4137;A;
AT0000A0KRS5;Raiffeisen-Global-Fundamental-Rent (I) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A0KRT3;Raiffeisen-Global-Fundamental-Rent (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A0KRU1;Raiffeisen-Global-Fundamental-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A0KS01;Macro + Strategy;LLB Invest Kapitalanlagegesellschaft m.b.H.;9737456;529900ICYFPS1JQGN769;ISSUED;4047;A;
AT0000A0L9D6;F 2011 Global Invest;Erste Asset Management GmbH;10115447;529900YL8TXTK8L4KY55;ISSUED;4142;A;
AT0000A0LGZ1;Apollo 2 Global Bond (A2) (A);Security Kapitalanlage Aktiengesellschaft;8506841;5299003RB0694978LH72;ISSUED;43;A;
AT0000A0LHU0;Raiffeisen-Global-Strategic-Opportunities (S) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8541108;52990069PL2E48I7L376;ISSUED;3592;A;
AT0000A0LNJ1;Raiffeisen-Nachhaltigkeit-Rent (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;3249310;52990011HIMFWWQLM242;ISSUED;158;A;
AT0000A0LRA1;NÖVK VG1 HTM;MASTERINVEST Kapitalanlage GmbH;10158081;529900LMD9DDQRU6G802;ISSUED;4150;A;
AT0000A0LSH4;Gutmann Global Inflation-Linked Bonds (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10160418;5299003Z1C17YJFR0E18;ISSUED;4151;A;
AT0000A0LSJ0;Raiffeisen-Nachhaltigkeit-Aktien (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;7173202;529900Z4L0OR37HJ6K36;ISSUED;2104;A;
AT0000A0LSR3;Raiffeisen-Russland-Aktien (I) VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8518599;52990058ZZHI77E60G45;ISSUED;3619;A;
AT0000A0LST9;Raiffeisen-GlobalDividend-ESG-Aktien (I) T;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8121761;529900NTJPPUEWLEV408;ISSUED;2835;A;
AT0000A0LWJ2;HANS ANDERSEN (A);Allianz Invest Kapitalanlagegesellschaft mbH;10196978;52990012KKE0Z15OP517;ISSUED;4165;A;
AT0000A0LWK0;SF A;MASTERINVEST Kapitalanlage GmbH;10182217;529900QQF8DZYGCP2309;ISSUED;4155;A;
AT0000A0LWL8;SF B;MASTERINVEST Kapitalanlage GmbH;10182225;529900YUY01U0KK99759;ISSUED;4156;A;
AT0000A0LXV5;Gutmann Global Dividends (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10190805;529900PN2XO0C0EZEA47;ISSUED;4161;A;
AT0000A0LXW3;Gutmann Global Dividends (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10190805;529900PN2XO0C0EZEA47;ISSUED;4161;A;
AT0000A0LY51;RT Active Global Trend;Erste Asset Management GmbH;7212232;5299003W4HR4260SIB33;ISSUED;1227;A;
AT0000A0LY69;Raiffeisen-Global-Fundamental-Rent (S) A;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10091513;529900B20C6DUSXMUG84;ISSUED;4136;A;
AT0000A0LZ35;R 247-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10200070;529900AXF7JW7PYAON47;ISSUED;4168;A;
AT0000A0LZ43;R 248-Fonds;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;10200061;529900K6QHHRSRKGA137;ISSUED;4169;A;
AT0000A0M494;SparTrust XXIII (A);IQAM Invest GmbH;7270194;529900CR0LVRBMIH5Z60;ISSUED;2812;A;
AT0000A0M4K1;Alpin Global Trend (I);LLB Invest Kapitalanlagegesellschaft m.b.H.;10209140;529900P9022CR6IHMP09;ISSUED;4174;A;
AT0000A0M4L9;Alpin Global Trend (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;10209140;529900P9022CR6IHMP09;ISSUED;4174;A;
AT0000A0M4R6;SparTrust Asset Allocation (A);IQAM Invest GmbH;10209123;529900IBNQ2N6RDFZL71;ISSUED;4176;A;
AT0000A0M569;LOK2 (A);Allianz Invest Kapitalanlagegesellschaft mbH;10223428;529900DN0V1J24BG6A67;ISSUED;4189;A;
AT0000A0M5C5;PP Global Balanced;LLB Invest Kapitalanlagegesellschaft m.b.H.;10213414;529900Z19TOJYHFBRP86;ISSUED;4181;A;
AT0000A0M5Q5;SF54;LLB Invest Kapitalanlagegesellschaft m.b.H.;10219110;529900LIMT2KNVCEVZ64;ISSUED;4183;A;
AT0000A0M5R3;SF55;LLB Invest Kapitalanlagegesellschaft m.b.H.;10219102;5299009B7OI3C4HF1Z82;ISSUED;4184;A;
AT0000A0M5U7;SF56;LLB Invest Kapitalanlagegesellschaft m.b.H.;10221476;529900E7NEPAQ0I3KA61;ISSUED;4186;A;
AT0000A0M7A5;UNIQA World Selection VTA;Raiffeisen Kapitalanlage-Gesellschaft m.b.H.;8107645;5299001JG3G3VMT6PU63;ISSUED;1430;A;
AT0000A0M7G2;Apollo Diversified Fund;LLB Invest Kapitalanlagegesellschaft m.b.H.;10223410;529900B853QERIEK7Q48;ISSUED;4190;A;
AT0000A0M7H0;LLB Portfolio Selektion (R);LLB Invest Kapitalanlagegesellschaft m.b.H.;10223436;5299005MZ0J7U1X40274;ISSUED;4191;A;
AT0000A0MP93;SD1 (EUR) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10223401;529900H4VPXDVTCPEA52;ISSUED;4192;A;
AT0000A0MPA3;SAV3 (A);Allianz Invest Kapitalanlagegesellschaft mbH;10229736;52990071L6EX7HZGMG76;ISSUED;4203;A;
AT0000A0MPH8;Schoellerbank SF 11;Schoellerbank Invest AG;10225757;529900GQI2ETXBUA6725;ISSUED;4195;A;
AT0000A0MPP1;Constantia Multi Invest 123;LLB Invest Kapitalanlagegesellschaft m.b.H.;10227776;529900A7TLVAAZLI9110;ISSUED;4198;A;
AT0000A0MPX5;Gutmann USD Reserve (USD) (A);Gutmann Kapitalanlagegesellschaft m.b.H;10227792;529900K97Q4M7683FR11;ISSUED;4201;A;
AT0000A0MPZ0;Constantia Multi Invest 113;LLB Invest Kapitalanlagegesellschaft m.b.H.;10229728;5299002BKK627VKYRY17;ISSUED;4202;A;
